Index;id;minutes;submitted;n_steps;n_ingredients;year;calories;total_fat;sugar;sodium;protein;saturated_fat;carbohydrates;healthy
217000;490365;55;15/11/2012;12;8;2012;130,4;9;12;33;16;8;4;FALSE
217030;375661;75;03/06/2009;19;10;2009;285,9;37;14;14;15;71;3;FALSE
217032;482203;25;04/07/2012;10;5;2012;1081,7;113;1;36;25;315;31;FALSE
217033;451412;30;23/03/2011;19;10;2011;397,5;26;8;71;57;32;10;FALSE
217035;444670;105;22/12/2010;5;11;2010;608,4;1;281;34;19;0;49;TRUE
217037;512021;45;13/01/2014;7;17;2014;377,2;19;59;19;41;11;15;FALSE
217051;450563;75;11/03/2011;15;14;2011;263,5;20;48;34;15;36;11;FALSE
217053;391952;40;28/09/2009;14;11;2009;492,2;61;9;52;23;31;7;FALSE
217084;442519;32;21/11/2010;7;12;2010;341,2;25;61;5;13;10;14;FALSE
217087;356031;45;16/02/2009;6;13;2009;367,3;27;47;31;23;14;14;FALSE
217104;456371;30;17/05/2011;8;7;2011;185,3;10;21;17;8;5;8;FALSE
217150;347671;30;07/01/2009;19;18;2009;559,5;39;18;57;57;61;17;FALSE
217158;449986;30;04/03/2011;18;23;2011;1917;253;104;68;37;142;31;FALSE
217171;403084;30;09/12/2009;10;10;2009;622,3;24;39;9;33;48;35;FALSE
217178;375629;50;03/06/2009;24;14;2009;320,3;53;2;49;2;23;1;FALSE
217182;402642;87;07/12/2009;9;12;2009;220,2;19;6;7;36;14;2;FALSE
217185;420696;75;17/04/2010;15;6;2010;103,8;8;29;4;3;18;3;FALSE
217189;431999;30;06/07/2010;4;9;2010;288,9;36;22;85;15;73;3;FALSE
217191;459119;40;20/06/2011;8;6;2011;711,4;69;230;9;25;97;26;FALSE
217200;427819;30;01/06/2010;13;9;2010;161;12;4;4;37;11;0;FALSE
217227;440731;45;28/10/2010;12;12;2010;690,8;32;26;71;80;18;28;TRUE
217239;457999;30;05/06/2011;11;12;2011;510,5;36;15;26;78;41;10;FALSE
217249;446451;40;13/01/2011;16;12;2011;765,8;27;13;20;82;24;38;TRUE
217251;406648;30;04/01/2010;7;11;2010;257;18;16;19;23;9;9;FALSE
217257;356975;25;21/02/2009;4;8;2009;560,6;41;9;31;72;38;14;FALSE
217270;362100;30;22/03/2009;15;12;2009;862,9;50;13;41;85;68;33;FALSE
217284;411442;30;02/02/2010;8;8;2010;338,3;22;14;27;40;30;10;FALSE
217296;347043;75;06/01/2009;17;13;2009;511,5;50;12;16;53;94;9;FALSE
217337;388759;25;04/09/2009;9;13;2009;513,1;21;23;16;44;11;22;TRUE
217345;399729;23;16/11/2009;9;8;2009;164;5;1;42;46;4;6;FALSE
217352;376418;25;09/06/2009;7;13;2009;502,1;22;15;46;96;15;13;FALSE
217353;375968;30;06/06/2009;7;8;2009;391,2;26;22;25;55;35;10;FALSE
217355;413285;35;16/02/2010;9;11;2010;569;52;13;34;74;51;8;FALSE
217364;373105;25;20/05/2009;9;8;2009;33,5;3;3;13;1;1;0;FALSE
217384;374140;65;25/05/2009;6;5;2009;253,2;19;5;24;51;19;2;FALSE
217393;438274;60;27/09/2010;15;10;2010;622,7;58;13;20;104;87;5;FALSE
217403;515713;25;29/04/2014;11;14;2014;539,6;46;19;49;80;59;8;FALSE
217414;486232;35;31/08/2012;10;8;2012;318,8;21;6;11;33;41;10;FALSE
217416;516798;40;19/06/2014;11;9;2014;356,3;21;12;12;38;39;12;FALSE
217417;429093;30;09/06/2010;5;9;2010;406,5;25;15;27;59;32;11;FALSE
217418;391532;60;23/09/2009;16;13;2009;557,4;29;18;17;62;21;21;FALSE
217428;447988;33;02/02/2011;8;6;2011;421,9;10;16;13;55;8;20;FALSE
217432;467236;30;01/11/2011;7;10;2011;256,2;27;11;24;35;30;2;FALSE
217445;388247;30;01/09/2009;9;10;2009;376,2;15;27;43;42;8;17;FALSE
217448;389370;30;08/09/2009;12;16;2009;574,5;28;36;13;47;24;26;TRUE
217463;383076;40;27/07/2009;7;11;2009;323,6;31;1;16;20;33;8;FALSE
217467;360109;30;10/03/2009;17;10;2009;711;41;12;22;97;24;22;FALSE
217553;502993;35;04/07/2013;9;11;2013;566,8;65;3;3;81;34;1;FALSE
217569;348306;45;08/01/2009;18;14;2009;603,8;68;19;37;80;99;3;FALSE
217572;372817;135;19/05/2009;6;13;2009;162,4;21;34;0;1;8;3;FALSE
217578;386519;45;21/08/2009;13;13;2009;631,6;58;18;41;71;96;11;FALSE
217584;434848;60;10/08/2010;12;10;2010;478,5;36;37;43;54;35;13;TRUE
217599;359390;30;06/03/2009;10;13;2009;842,4;54;47;111;54;34;35;FALSE
217611;415254;45;03/03/2010;9;8;2010;549,4;38;25;22;54;36;18;FALSE
217625;440719;40;28/10/2010;19;17;2010;524,4;34;21;47;55;24;17;FALSE
217632;442208;45;16/11/2010;12;11;2010;294,6;17;34;44;34;15;10;FALSE
217633;358524;46;01/03/2009;9;8;2009;321,9;22;12;17;40;33;8;FALSE
217644;419589;55;09/04/2010;5;8;2010;278,8;30;12;20;31;50;3;FALSE
217651;459849;35;02/07/2011;5;10;2011;430,2;31;11;32;70;29;8;FALSE
